f1	f2
640.1	1381.4
349.7	2089.7
560.9	1326.1
912.2	1525.0
304.5	1989.7
594.6	1025.6
353.5	2230.9
611.1	1331.6
354.3	1936.1
449.3	2134.3
600.3	1428.9
449.6	1326.4
286.0	2206.0
582.0	1755.9
551.0	2087.4
263.6	2187.2
323.4	1588.8
612.3	1508.2
648.2	1197.6
617.9	1660.5
319.0	1796.1
343.8	2117.7
310.3	1901.3
534.9	1347.8
530.3	2057.5
628.0	1387.1
340.6	2119.7
499.6	1674.7
667.9	1254.1
654.9	1495.4
364.6	1811.0
573.1	867.0
572.6	1329.5
373.1	1710.7
445.6	1758.8
389.6	909.1
640.1	1381.4
570.6	1471.4
639.8	1855.8
869.2	1993.5
603.8	1685.0
442.1	816.3
560.6	966.7
464.0	2021.1
565.6	1762.9
329.9	1532.0
529.2	1774.1
322.9	1947.9
647.5	1542.0
554.7	1871.0
453.6	1289.8
340.6	1124.1
384.2	2181.6
763.6	1530.8
571.3	1264.3
498.8	1031.6
396.0	1615.8
483.5	2247.4
333.6	1810.6
305.5	2168.7
574.7	1510.2
366.8	1775.0
264.6	1967.4
680.8	1468.6
410.7	1203.3
395.8	899.5
540.7	1740.0
344.9	1478.6
574.7	1510.2
319.0	1796.1
449.1	863.7
629.2	1732.4
398.4	2005.4
581.8	1016.5
527.2	1839.0
557.4	1124.9
449.8	1084.2
606.2	1407.9
297.3	2130.0
612.8	1157.8
533.6	1000.5
372.5	1822.2
434.3	1667.9
573.5	1523.3
239.8	2215.2
386.5	2178.3
384.3	1909.1
430.6	2002.7
471.5	994.3
314.8	2119.0
778.8	1848.8
537.9	1051.5
475.6	2079.6
351.3	983.5
673.5	1358.1
435.8	899.6
434.5	1070.6
544.8	2297.6
281.6	1547.3
741.9	1676.8
894.7	1424.2
711.2	1460.4
310.2	1755.6
636.8	1243.8
444.7	1299.5
320.5	2384.8
430.3	1708.5
626.4	1550.3
504.1	1296.4
345.2	1516.7
392.8	1764.3
421.2	2302.4
460.6	1745.3
335.1	1658.5
804.4	1633.4
601.3	1033.8
358.6	2071.8
580.7	983.3
540.4	1711.9
667.3	1771.0
373.4	1533.2
615.0	1377.5
499.0	963.6
362.5	2213.1
804.4	1633.4
430.3	1657.2
611.5	2079.1
521.6	1538.0
741.9	1676.8
615.6	1098.0
392.1	1828.1
664.0	1177.3
329.0	1735.5
700.6	1446.3
297.3	2130.0
548.9	978.8
491.5	1403.4
475.3	1851.5
467.4	1592.0
710.0	1426.8
239.8	2008.7
593.1	1468.8
313.3	2459.8
352.8	2153.9
521.5	1508.8
833.7	1595.7
330.1	2110.0
392.4	1410.3
323.4	2073.8
567.2	1721.7
681.5	1621.5
767.0	1367.5
588.8	965.9
651.9	1334.6
648.3	1493.4
611.7	1727.5
423.6	2043.3
392.2	785.7
416.2	1509.3
349.1	1772.2
546.9	1602.5
737.2	1446.9
633.8	1724.4
583.0	1133.2
481.7	1013.9
507.6	1089.0
615.0	1897.4
515.5	805.9
648.0	1481.4
772.1	1383.6
419.7	1746.3
333.5	1587.4
653.3	1223.6
836.1	1542.7
398.0	1672.3
648.3	1493.4
587.0	1661.3
577.5	1401.6
385.9	1785.9
769.4	1617.6
345.8	2189.1
464.2	1326.4
627.1	1441.5
560.1	976.2
716.6	1475.9
496.2	1191.5
405.2	2122.0
459.4	1248.7
596.5	1213.7
560.3	1040.2
489.2	1555.4
321.3	2174.1
284.5	2178.0
476.5	1728.6
359.1	2164.2
580.3	1515.8
522.5	1367.1
607.9	1818.7
346.1	1806.2
710.8	1337.5
369.2	2337.0
648.4	1660.4
570.4	990.8
530.9	2039.4
377.9	1801.2
352.8	2002.6
639.8	1518.4
611.7	1372.1
787.6	1219.5
605.9	1066.0
394.9	2001.0
788.4	1915.3
540.4	1405.0
635.5	1703.6
531.9	1736.0
612.9	1433.4
760.2	1577.1
692.6	1565.5
309.2	1838.6
320.4	1564.2
546.9	1087.3
632.1	1262.3
599.3	1222.4
554.8	1481.0
332.9	830.2
496.1	1914.4
287.9	2246.1
758.7	1950.4
385.1	868.8
334.1	2305.4
650.8	1252.5
533.6	1953.6
574.6	1315.5
686.2	1368.3
567.9	1857.4
824.1	1461.4
314.4	1751.1
612.6	2106.1
356.4	1782.6
824.8	1602.6
619.4	1733.9
692.6	1596.1
486.4	1023.8
722.2	1321.8
461.5	1939.4
600.2	1231.3
373.4	1533.2
447.6	2252.9
449.7	2099.9
366.1	1623.2
374.5	2049.0
394.9	1093.1
417.9	840.3
619.4	1733.9
553.9	1580.0
454.4	1139.0
405.3	1521.3
597.2	1469.0
379.1	2081.7
579.9	1345.5
769.2	1670.0
326.6	2248.9
415.7	1135.2
351.3	983.5
771.3	1284.4
841.3	1782.4
425.2	1178.6
679.8	1414.5
659.3	1496.1
388.3	1858.2
517.1	1894.5
662.4	1502.7
366.8	1775.0
613.2	1708.6
334.8	2103.4
303.6	1863.8
572.8	1639.4
663.3	1440.9
525.4	1610.9
351.6	2082.3
546.9	1602.5
572.2	1398.1
313.3	2207.9
612.5	1629.0
452.1	1240.1
350.2	2247.5
674.8	1570.7
569.1	1707.5
389.1	2095.7
319.0	1921.2
736.6	1521.4
532.8	1493.5
448.5	979.4
283.8	1980.0
398.0	1672.3
385.3	1575.0
421.1	2137.5
643.6	1441.9
549.6	1508.4
459.0	1748.3
570.1	1432.0
554.7	1871.0
563.0	1369.6
655.9	1838.7
589.6	1056.3
597.4	1814.5
343.8	2117.7
556.6	1694.1
408.4	2003.9
513.6	1190.9
496.2	1901.5
346.1	1806.2
421.0	840.9
496.0	1146.6
454.9	953.8
358.8	1615.5
421.8	821.5
509.9	1599.1
389.1	2095.7
340.3	1525.0
331.9	1235.9
676.5	1450.2
416.3	1486.2
424.9	925.9
512.1	1348.8
320.1	2034.0
339.7	2240.8
487.1	2019.6
625.2	1662.0
627.0	1672.5
632.5	1230.8
758.1	1419.1
437.7	1787.3
608.7	1619.6
594.5	984.9
727.9	1681.6
328.9	2036.5
504.3	1092.8
483.5	2247.4
619.0	1973.8
643.6	1441.9
369.4	1929.3
631.7	1361.9
336.3	2372.9
633.8	1724.4
356.2	1830.5
351.3	2033.0
333.8	1871.6
247.4	1350.9
511.9	1685.4
440.5	1485.3
434.8	1059.8
772.1	1383.6
260.8	2027.0
261.2	2030.3
410.9	1768.1
527.1	1336.7
552.9	1001.6
416.2	1509.3
684.8	1498.2
795.8	1637.9
453.1	1165.9
708.9	1681.7
669.5	1263.1
815.4	1616.7
375.2	2076.0
678.5	1499.1
591.5	991.6
311.7	2182.0
330.0	1962.3
605.1	923.2
414.2	2389.6
632.8	982.6
724.4	1700.7
707.6	1563.7
384.1	2030.5
378.1	1720.3
573.9	1273.7
406.9	2030.0
640.6	1373.3
365.1	1877.7
570.0	1883.0
421.7	790.1
476.5	1728.6
680.8	1468.6
388.3	1858.2
496.2	1974.8
569.3	1595.6
516.3	1093.4
559.7	1343.4
698.1	1739.4
391.9	1489.3
547.1	1766.3
795.8	1637.9
611.7	1372.1
267.1	2186.1
358.6	1684.0
661.7	1604.3
542.3	1974.7
416.1	835.0
651.6	1174.2
729.9	1126.6
377.5	2003.3
836.0	1799.1
696.3	1556.1
444.7	1299.5
440.5	967.7
654.9	1585.0
648.4	1660.4
368.3	2257.5
525.0	1847.2
716.3	1691.2
477.7	1557.3
612.4	1581.5
658.8	1480.6
560.3	1040.2
572.9	1587.5
602.0	1224.0
648.6	1408.4
425.3	1656.1
573.9	1273.7
654.1	2192.6
327.0	1384.5
766.5	1397.1
644.8	1491.2
594.8	1939.9
692.1	1284.1
558.6	1784.5
732.7	1686.7
351.8	2036.6
475.9	869.4
498.6	1652.8
444.5	1751.2
401.7	1981.1
637.2	1310.9
378.6	2069.2
644.3	1384.8
797.9	1838.6
559.7	2023.4
558.8	962.7
398.1	875.7
574.3	1813.3
325.7	2058.6
489.2	1955.1
440.5	967.7
578.3	1501.0
400.1	1543.8
390.9	841.8
253.9	1935.6
356.3	2045.5
612.2	1115.7
578.0	1953.8
420.9	2175.5
510.9	1684.4
438.4	1818.8
632.5	1230.8
507.5	1229.5
517.8	1395.5
462.7	1831.6
559.3	1780.4
645.7	1603.8
632.2	1587.4
499.5	1786.8
628.4	1355.3
407.1	2233.7
606.3	1745.3
612.2	1115.7
401.6	1660.9
463.0	1054.6
703.7	1515.3
411.5	1129.3
618.2	1152.4
330.6	2454.9
291.8	1782.8
646.4	1355.0
296.6	1763.1
638.8	1106.6
804.1	2233.7
613.5	2243.3
437.4	1838.3
690.6	1504.2
604.8	1075.2
762.0	1282.5
648.6	1408.4
618.5	1833.5
306.3	2325.9
733.4	1301.7
323.4	1588.8
286.8	1493.7
